BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory 
723349,5, VERIFIED, FIXED,10,6,4,,,
757776,125, VERIFIED, FIXED,23,8,8,,,
826075,27, VERIFIED, FIXED,14,8,7,,,
718270,18, VERIFIED, FIXED,12,8,4,,,
748765,404, ASSIGNED, (null),7,5,7,,,
798135,6, REOPENED, (null),21,6,4,,,
713072,13, VERIFIED, FIXED,11,5,4,,,
740094,6, VERIFIED, FIXED,7,6,5,,,
894129,2, ASSIGNED, (null),4,1,2,,,
731610,8, VERIFIED, FIXED,13,6,14,,,
768073,30, VERIFIED, FIXED,17,3,2,,,
866461,15, VERIFIED, FIXED,8,4,4,,,
724948,26, VERIFIED, FIXED,5,4,3,,,
759799,40, VERIFIED, FIXED,15,5,3,,,
830834,156, ASSIGNED, (null),58,4,8,,,
750686,274, VERIFIED, FIXED,13,5,6,,,
699492,10, VERIFIED, FIXED,7,5,4,,,
802280,9, VERIFIED, FIXED,10,5,3,,,
714230,66, VERIFIED, FIXED,11,7,6,,,
741655,311, VERIFIED, FIXED,50,11,15,,,
696311,135, VERIFIED, FIXED,6,4,3,,,
783373,19, VERIFIED, FIXED,11,5,7,,,
899813,7, VERIFIED, FIXED,3,3,9,,,
733169,202, VERIFIED, FIXED,17,7,10,,,
872005,48, VERIFIED, FIXED,12,6,9,,,
760724,53, VERIFIED, FIXED,16,6,7,,,
837215,24, VERIFIED, FIXED,10,5,3,,,
720698,41, VERIFIED, FIXED,6,5,5,,,
751944,165, VERIFIED, FIXED,10,5,10,,,
810794,29, VERIFIED, FIXED,16,9,6,,,
744439,46, VERIFIED, FIXED,10,4,4,,,
697078,2, VERIFIED, FIXED,3,2,1,,,
711177,427, VERIFIED, FIXED,8,7,9,,,
771733,6, VERIFIED, FIXED,10,5,3,,,
762727,47, VERIFIED, FIXED,10,3,5,,,
843827,3, VERIFIED, FIXED,7,4,3,,,
721639,11, VERIFIED, FIXED,7,5,5,,,
753329,365, VERIFIED, FIXED,44,14,15,,,
701020,5, VERIFIED, FIXED,2,1,1,,,
816875,18, VERIFIED, FIXED,7,4,3,,,
746633,34, VERIFIED, FIXED,18,7,5,,,
697299,16, VERIFIED, FIXED,10,4,3,,,
789867,79, VERIFIED, FIXED,14,9,6,,,
774648,8, VERIFIED, FIXED,15,7,10,,,
882307,55, VERIFIED, FIXED,11,6,9,,,
728263,67, VERIFIED, FIXED,10,8,14,,,
764405,42, VERIFIED, FIXED,16,5,6,,,
704690,9, VERIFIED, FIXED,10,6,3,,,
850936,6, VERIFIED, FIXED,4,3,3,,,
754947,10, VERIFIED, FIXED,24,13,14,,,
820491,100, VERIFIED, FIXED,29,10,9,,,
717231,5, VERIFIED, FIXED,8,4,3,,,
747633,260, REOPENED, (null),17,8,11,,,
793480,17, VERIFIED, FIXED,16,8,10,,,
738641,59, VERIFIED, FIXED,19,10,17,,,
695112,115, VERIFIED, FIXED,11,5,5,,,
777427,63, VERIFIED, FIXED,12,4,4,,,
708921,70, VERIFIED, FIXED,4,3,2,,,
887930,14, ASSIGNED, (null),4,3,4,,,
766483,35, VERIFIED, FIXED,16,5,7,,,
857445,47, ASSIGNED, (null),12,3,3,,,
757791,50, VERIFIED, FIXED,6,5,4,,,
826106,46, VERIFIED, FIXED,5,3,4,,,
749107,7, VERIFIED, FIXED,26,11,16,,,
798280,46, VERIFIED, FIXED,19,8,10,,,
740118,7, VERIFIED, FIXED,11,6,7,,,
780668,2, VERIFIED, FIXED,4,3,5,,,
894938,27, VERIFIED, FIXED,10,5,5,,,
731619,11, VERIFIED, FIXED,9,4,4,,,
706207,1, VERIFIED, FIXED,6,2,3,,,
866466,4, VERIFIED, FIXED,8,3,5,,,
759820,109, VERIFIED, FIXED,11,4,3,,,
702688,2, VERIFIED, FIXED,6,3,3,,,
831728,75, REOPENED, (null),5,3,8,,,
750712,300, VERIFIED, FIXED,15,6,11,,,
714234,38, VERIFIED, FIXED,9,6,6,,,
741712,15, VERIFIED, FIXED,10,5,3,,,
783521,104, VERIFIED, FIXED,6,4,10,,,
769857,63, REOPENED, (null),27,6,3,,,
872328,8, VERIFIED, FIXED,9,5,5,,,
760740,24, VERIFIED, FIXED,15,6,10,,,
703344,0, VERIFIED, FIXED,4,3,2,,,
838210,179, ASSIGNED, (null),14,4,7,,,
720764,13, VERIFIED, FIXED,14,8,8,,,
752014,121, VERIFIED, FIXED,11,5,7,,,
811238,59, VERIFIED, FIXED,26,10,13,,,
744699,41, VERIFIED, FIXED,10,4,6,,,
735612,8, VERIFIED, FIXED,11,5,12,,,
771997,5, VERIFIED, FIXED,11,5,8,,,
762955,31, VERIFIED, FIXED,22,6,11,,,
704156,3, VERIFIED, FIXED,9,5,5,,,
844471,18, VERIFIED, FIXED,17,7,8,,,
701021,13, VERIFIED, FIXED,4,2,3,,,
789878,43, VERIFIED, FIXED,14,4,5,,,
736296,47, VERIFIED, FIXED,12,5,4,,,
774696,35, ASSIGNED, (null),2,2,2,,,
884566,15, VERIFIED, FIXED,7,5,4,,,
764497,105, VERIFIED, FIXED,6,2,8,,,
852277,3, VERIFIED, FIXED,3,2,5,,,
755062,16, VERIFIED, FIXED,20,7,12,,,
820868,28, VERIFIED, FIXED,12,7,7,,,
717284,7, VERIFIED, FIXED,10,7,7,,,
793677,6, VERIFIED, FIXED,14,4,8,,,
738848,80, VERIFIED, FIXED,6,5,3,,,
777639,302, VERIFIED, FIXED,25,11,14,,,
708947,67, VERIFIED, FIXED,5,4,2,,,
888086,2, ASSIGNED, (null),4,3,2,,,
766635,19, VERIFIED, FIXED,12,7,7,,,
705402,100, VERIFIED, FIXED,8,6,5,,,
858340,96, VERIFIED, FIXED,20,6,10,,,
757893,10, VERIFIED, FIXED,18,8,11,,,
826273,69, VERIFIED, FIXED,12,8,6,,,
749120,13, VERIFIED, FIXED,14,9,8,,,
780699,51, VERIFIED, FIXED,14,8,7,,,
895000,4, VERIFIED, FIXED,8,5,5,,,
731654,56, VERIFIED, FIXED,35,8,8,,,
768586,1, VERIFIED, FIXED,11,5,6,,,
706215,0, VERIFIED, FIXED,11,4,3,,,
866854,9, VERIFIED, FIXED,4,2,3,,,
725171,26, VERIFIED, FIXED,8,5,5,,,
760085,55, VERIFIED, FIXED,10,5,3,,,
702778,12, VERIFIED, FIXED,4,2,2,,,
832321,73, VERIFIED, FIXED,11,6,7,,,
750722,44, VERIFIED, FIXED,8,3,5,,,
714243,24, VERIFIED, WONTFIX,2,3,6,,,
741831,54, VERIFIED, FIXED,9,5,5,,,
900591,5, REOPENED, (null),3,3,10,,,
769905,25, VERIFIED, FIXED,10,4,3,,,
872809,90, VERIFIED, FIXED,12,6,8,,,
838440,36, VERIFIED, FIXED,13,7,9,,,
752017,16, VERIFIED, FIXED,6,7,9,,,
811284,28, VERIFIED, FIXED,9,7,5,,,
786380,243, VERIFIED, FIXED,44,18,19,,,
735636,21, VERIFIED, FIXED,26,6,6,,,
707801,541, VERIFIED, WONTFIX,13,10,9,,,
878587,74, REOPENED, (null),121,7,5,,,
762968,83, VERIFIED, FIXED,13,5,9,,,
844816,93, VERIFIED, FIXED,24,9,14,,,
721765,38, VERIFIED, FIXED,11,7,8,,,
817526,15, VERIFIED, FIXED,9,5,4,,,
746681,181, VERIFIED, FIXED,3,4,3,,,
697417,1, VERIFIED, FIXED,2,2,1,,,
