BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory 
834213, 19, RESOLVED, WORKSFORME, 5, 3, 3,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
715683, 3, RESOLVED, WORKSFORME, 2, 2, 3,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
812355, 131, RESOLVED, WORKSFORME, 1, 1, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
761042, 26, RESOLVED, WORKSFORME, 4, 2, 2,UNCONFIRMED > NEW > RESOLVED, --- > WORKSFORME, , 
751978, 12, RESOLVED, WORKSFORME, 1, 1, 3,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
741306, 225, RESOLVED, WORKSFORME, 1, 1, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
819155, 186, RESOLVED, WORKSFORME, 3, 2, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
780369, 103, RESOLVED, WORKSFORME, 1, 1, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
851824, 4, RESOLVED, WORKSFORME, 1, 2, 2,NEW > RESOLVED, --- > FIXED > WORKSFORME, , 
736857, 239, RESOLVED, WORKSFORME, 1, 1, 5,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
825773, 195, RESOLVED, WORKSFORME, 1, 2, 5,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
737957, 20, RESOLVED, WORKSFORME, 4, 4, 3,NEW > RESOLVED > REOPENED > RESOLVED, --- > DUPLICATE > --- > WORKSFORME, NEW (---) > RESOLVED (DUPLICATE) > REOPENED (---) > RESOLVED (WORKSFORME) , 
758876, 172, RESOLVED, WORKSFORME, 1, 1, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
750770, 195, RESOLVED, WORKSFORME, 1, 1, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
777789, 111, RESOLVED, WORKSFORME, 1, 1, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
764305, 155, RESOLVED, WORKSFORME, 1, 1, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
736858, 239, RESOLVED, WORKSFORME, 1, 1, 3,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
758895, 224, RESOLVED, WORKSFORME, 6, 4, 4,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
704517, 1, RESOLVED, WORKSFORME, 4, 2, 3,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
774089, 86, RESOLVED, WORKSFORME, 12, 5, 5,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
741523, 0, RESOLVED, WORKSFORME, 1, 1, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
778080, 111, RESOLVED, WORKSFORME, 1, 1, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
719373, 124, RESOLVED, WORKSFORME, 13, 9, 7,NEW > RESOLVED, --- > FIXED > WORKSFORME, , 
821602, 82, RESOLVED, WORKSFORME, 3, 3, 7,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
707680, 3, RESOLVED, WORKSFORME, 1, 2, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
721431, 17, RESOLVED, WORKSFORME, 5, 3, 6,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
749184, 117, RESOLVED, WORKSFORME, 10, 6, 9,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
809326, 40, RESOLVED, WORKSFORME, 10, 3, 3,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
