BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory 
8779, 1205, RESOLVED, WORKSFORME, 2, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
8106, 1261, RESOLVED, WORKSFORME, 1, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
8412, 1233, RESOLVED, WORKSFORME, 1, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
9450, 1142, RESOLVED, WORKSFORME, 1, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
7894, 1279, RESOLVED, WORKSFORME, 2, 3, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
8107, 1261, CLOSED, WORKSFORME, 3, 3, 1,NEW > RESOLVED > CLOSED, --- > WORKSFORME, , 
10879, 0, RESOLVED, WORKSFORME, 2, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
7902, 1279, RESOLVED, WORKSFORME, 1, 2, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
5437, 2304, REOPENED, (null), 5, 4, 2,NEW > RESOLVED > REOPENED, --- > WORKSFORME > ---, NEW (---) > RESOLVED (WORKSFORME) > REOPENED (---) , 
332, 3210, RESOLVED, WORKSFORME, 24, 18, 13,NEW > RESOLVED > REOPENED > RESOLVED, --- > FIXED > --- > WONTFIX > WORKSFORME, , 
19028, 1242, RESOLVED, WORKSFORME, 1, 2, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
3574, 2678, RESOLVED, WORKSFORME, 6, 5, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
24611, 913, RESOLVED, WORKSFORME, 2, 2, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
11157, 1977, RESOLVED, WORKSFORME, 1, 2, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
24116, 1021, RESOLVED, WORKSFORME, 5, 5, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
18359, 1474, RESOLVED, WORKSFORME, 2, 2, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
1955, 1857, RESOLVED, WORKSFORME, 6, 5, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
4767, 124, RESOLVED, WORKSFORME, 4, 3, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
9530, 2262, RESOLVED, WONTFIX, 45, 15, 18,NEW > RESOLVED > REOPENED > RESOLVED, --- > WORKSFORME > --- > WONTFIX, NEW (---) > RESOLVED (WORKSFORME) > REOPENED (---) > RESOLVED (WONTFIX) , 
12104, 1549, RESOLVED, WORKSFORME, 9, 6, 5,NEW > RESOLVED > REOPENED > RESOLVED, --- > WORKSFORME > --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) > REOPENED (---) > RESOLVED (WORKSFORME) , 
4025, 1638, RESOLVED, WORKSFORME, 5, 2, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
9475, 1703, RESOLVED, WORKSFORME, 2, 3, 1,NEW > RESOLVED, --- > LATER > WORKSFORME, , 
2801, 1, CLOSED, WORKSFORME, 1, 1, 1,NEW > RESOLVED > CLOSED, --- > WORKSFORME, , 
2972, 1753, RESOLVED, WORKSFORME, 1, 2, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
9714, 491, RESOLVED, WORKSFORME, 5, 5, 1,NEW > RESOLVED > REOPENED > RESOLVED, --- > INVALID > --- > WORKSFORME, NEW (---) > RESOLVED (INVALID) > REOPENED (---) > RESOLVED (WORKSFORME) , 
11710, 1106, RESOLVED, WORKSFORME, 2, 3, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
36433, 0, RESOLVED, WORKSFORME, 2, 3, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
37955, 0, RESOLVED, WORKSFORME, 4, 2, 0,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
38835, 0, RESOLVED, WORKSFORME, 4, 3, 2,NEW > RESOLVED, --- > INVALID > WORKSFORME, , 
30146, 1, RESOLVED, WORKSFORME, 3, 2, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
