BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory ,
278615,364, RESOLVED, WORKSFORME,5,6,0,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
386987,682, RESOLVED, WORKSFORME,2,3,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
645595,0, RESOLVED, WORKSFORME,5,3,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
342730,390, RESOLVED, WORKSFORME,4,2,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
258331,1617, VERIFIED, WORKSFORME,4,4,1,UNCONFIRMED > RESOLVED > VERIFIED, --- > EXPIRED > WORKSFORME, UNCONFIRMED (---) > RESOLVED (EXPIRED) > VERIFIED (WORKSFORME) , 
354439,3, RESOLVED, WORKSFORME,3,3,0,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
389978,659, RESOLVED, WORKSFORME,3,3,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
434863,453, RESOLVED, WORKSFORME,1,2,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
322587,3, RESOLVED, WORKSFORME,3,3,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
521808,1319, RESOLVED, WORKSFORME,5,5,7,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
337819,1080, VERIFIED, WORKSFORME,8,6,6,UNCONFIRMED > NEW > RESOLVED > VERIFIED, --- > WORKSFORME, , 
354459,1009, VERIFIED, WORKSFORME,8,4,6,NEW > RESOLVED > VERIFIED, --- > INCOMPLETE > WORKSFORME, NEW (---) > RESOLVED (INCOMPLETE) > VERIFIED (WORKSFORME) , 
398026,2084, RESOLVED, WORKSFORME,3,2,7,ASSIGNED > RESOLVED, --- > WORKSFORME, ASSIGNED (---) > RESOLVED (WORKSFORME) , 
307723,0, RESOLVED, WORKSFORME,4,4,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
436855,456, RESOLVED, WORKSFORME,3,3,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
680146,0, RESOLVED, WORKSFORME,1,2,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
286531,549, RESOLVED, WORKSFORME,9,6,2,UNCONFIRMED > RESOLVED > UNCONFIRMED > ASSIGNED > NEW > RESOLVED, --- > WORKSFORME > --- > WORKSFORME, , 
400963,0, RESOLVED, WORKSFORME,4,2,3,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
307920,0, RESOLVED, WORKSFORME,4,3,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
440189,440, RESOLVED, WORKSFORME,1,2,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
441510,382, RESOLVED, WORKSFORME,19,6,9,UNCONFIRMED > NEW > RESOLVED, --- > WORKSFORME, , 
533228,37, RESOLVED, WORKSFORME,5,3,2,UNCONFIRMED > RESOLVED, --- > FIXED > WORKSFORME, , 
698209,393, RESOLVED, WORKSFORME,1,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
