BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory 
33985, 7, RESOLVED, FIXED, 4, 5, 3,
34684, 68, RESOLVED, FIXED, 5, 5, 6,
37209, 419, RESOLVED, FIXED, 48, 19, 20,
42024, 204, NEW, (null), 4, 3, 3,
42452, 110, RESOLVED, FIXED, 44, 16, 16,
43316, 0, RESOLVED, FIXED, 2, 3, 3,
44024, 96, RESOLVED, FIXED, 3, 4, 3,
46612, 102, NEW, (null), 14, 7, 7,
48837, 11, RESOLVED, FIXED, 11, 5, 5,
50973, 16, NEW, (null), 9, 6, 3,
52591, 10, NEW, (null), 5, 3, 4,
9948, 26, RESOLVED, FIXED, 6, 2, 0,
921, 2516, RESOLVED, FIXED, 42, 11, 5,
13820, 753, RESOLVED, FIXED, 4, 4, 2,
26481, 89, RESOLVED, FIXED, 3, 3, 3,
42205, 255, PATCH_TO_REVIEW, (null), 7, 4, 3,
46885, 52, RESOLVED, FIXED, 7, 4, 6,
48820, 65, RESOLVED, FIXED, 15, 7, 9,
49819, 40, RESOLVED, FIXED, 1, 1, 1,
52613, 1, RESOLVED, FIXED, 3, 4, 4,
1334, 2244, RESOLVED, FIXED, 10, 4, 0,
1532, 2788, RESOLVED, FIXED, 7, 3, 2,
1696, 5, RESOLVED, FIXED, 3, 3, 0,
1720, 332, RESOLVED, FIXED, 3, 2, 0,
2674, 1777, RESOLVED, FIXED, 4, 3, 1,
3163, 57, RESOLVED, FIXED, 12, 3, 1,
4144, 2139, RESOLVED, FIXED, 19, 6, 1,
6552, 273, RESOLVED, FIXED, 12, 7, 2,
10837, 1266, RESOLVED, FIXED, 38, 10, 10,
13872, 746, CLOSED, FIXED, 7, 3, 1,
29091, 32, RESOLVED, FIXED, 4, 2, 1,
31371, 409, RESOLVED, FIXED, 11, 6, 7,
40251, 2, RESOLVED, FIXED, 18, 10, 16,
44459, 83, RESOLVED, FIXED, 34, 13, 22,
31255, 406, RESOLVED, FIXED, 13, 6, 7,
35658, 13, RESOLVED, FIXED, 5, 3, 4,
36310, 56, RESOLVED, FIXED, 12, 4, 9,
40261, 30, NEW, (null), 0, 1, 2,
41889, 131, RESOLVED, FIXED, 9, 6, 7,
42924, 89, NEW, (null), 3, 3, 6,
45089, 116, RESOLVED, WONTFIX, 2, 2, 6,
49636, 1, NEW, (null), 6, 4, 7,
51640, 11, PATCH_TO_REVIEW, (null), 8, 3, 4,
51749, 3, PATCH_TO_REVIEW, (null), 1, 2, 6,
40362, 278, NEW, (null), 6, 3, 3,
56, 2098, RESOLVED, FIXED, 14, 6, 5,
60, 36, RESOLVED, FIXED, 17, 7, 4,
217, 2088, RESOLVED, FIXED, 8, 4, 2,
1175, 1968, RESOLVED, FIXED, 6, 5, 2,
3251, 82, RESOLVED, FIXED, 2, 2, 0,
3401, 1913, RESOLVED, FIXED, 4, 3, 3,
