BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory 
61190,3157, NEW, (null),63,22,28,,,
61316,39, VERIFIED, FIXED,18,6,5,,,
61970,288, CLOSED, FIXED,8,4,3,,,
62247,1918, NEW, (null),6,5,0,,,
62280,2957, CLOSED, WONTFIX,25,6,14,,,
62318,1911, NEW, (null),6,4,4,,,
62523,1114, CLOSED, FIXED,5,4,0,,,
62528,28, VERIFIED, FIXED,1,2,0,,,
62558,28, VERIFIED, FIXED,6,3,1,,,
62925,1927, NEW, (null),1,2,0,,,
62984,1927, NEW, (null),1,2,0,,,
63003,33, VERIFIED, FIXED,3,2,0,,,
63070,26, VERIFIED, FIXED,7,3,1,,,
63918,2072, NEW, (null),1,1,3,,,
64220,26, VERIFIED, FIXED,1,2,0,,,
64237,19, VERIFIED, FIXED,14,5,1,,,
64400,14, VERIFIED, FIXED,4,3,1,,,
64413,1994, NEW, (null),30,4,5,,,
64488,3157, NEW, (null),6,5,7,,,
64682,2068, NEW, (null),0,1,3,,,
64691,2949, CLOSED, FIXED,2,2,3,,,
64774,1, NEW, (null),3,3,1,,,
64791,10, VERIFIED, FIXED,14,5,5,,,
64846,1113, NEW, (null),6,3,1,,,
65194,842, NEW, (null),15,4,1,,,
65350,8, VERIFIED, FIXED,3,4,1,,,
65735,1110, NEW, (null),5,2,2,,,
65837,1899, NEW, (null),2,1,1,,,
65947,3, VERIFIED, FIXED,5,3,0,,,
65977,3, NEW, (null),2,3,1,,,
66011,2935, CLOSED, WONTFIX,6,5,7,,,
66097,1886, NEW, (null),5,3,0,,,
66339,1420, NEW, (null),7,5,3,,,
66345,1097, NEW, (null),0,1,1,,,
66386,0, NEW, (null),4,4,1,,,
66557,0, NEW, (null),2,2,0,,,
66565,0, NEW, (null),0,1,1,,,
66841,38, NEW, (null),22,7,1,,,
67170,1879, NEW, (null),8,5,0,,,
67355,6, VERIFIED, FIXED,3,2,1,,,
67360,2703, CLOSED, FIXED,5,4,3,,,
67361,526, NEW, (null),0,1,0,,,
67676,1091, NEW, (null),1,1,0,,,
68004,0, NEW, (null),0,1,0,,,
68029,275, NEW, (null),2,3,0,,,
68040,287, VERIFIED, FIXED,13,3,6,,,
68062,3256, ASSIGNED, (null),26,6,7,,,
68084,2921, CLOSED, WONTFIX,1,2,2,,,
68273,1317, CLOSED, FIXED,9,4,3,,,
69303,1128, NEW, (null),2,3,3,,,
69354,2907, CLOSED, WONTFIX,1,2,3,,,
69392,567, NEW, (null),3,2,0,,,
69410,34, CLOSED, FIXED,12,6,3,,,
69578,1862, NEW, (null),1,2,3,,,
69579,1716, NEW, (null),2,2,1,,,
69580,1856, NEW, (null),4,2,0,,,
69650,1432, NEW, (null),20,6,6,,,
69714,90, CLOSED, WONTFIX,6,4,2,,,
70411,185, NEW, (null),5,2,2,,,
70826,1698, NEW, (null),7,4,3,,,
70883,112, VERIFIED, FIXED,22,3,2,,,
71180,348, CLOSED, FIXED,5,3,1,,,
71209,1719, NEW, (null),3,2,2,,,
71472,249, NEW, (null),3,2,0,,,
71488,692, NEW, (null),2,2,3,,,
71636,1036, NEW, (null),11,6,6,,,
71660,1834, NEW, (null),17,3,2,,,
71765,3284, NEW, (null),19,7,18,,,
71844,231, VERIFIED, FIXED,10,4,2,,,
71990,40, NEW, (null),1,2,2,,,
72040,29, VERIFIED, FIXED,13,5,4,,,
72225,1825, NEW, (null),8,5,4,,,
72316,1862, NEW, (null),1,2,0,,,
72480,951, NEW, (null),7,3,2,,,
72657,2856, CLOSED, WONTFIX,1,2,2,,,
72813,1391, NEW, (null),20,6,3,,,
72862,1755, NEW, (null),0,1,3,,,
72928,2851, CLOSED, WONTFIX,3,3,4,,,
73332,574, NEW, (null),9,6,3,,,
73478,2847, CLOSED, WONTFIX,5,4,5,,,
73485,2189, NEW, (null),4,3,1,,,
74038,181, NEW, (null),0,1,2,,,
74169,25, VERIFIED, FIXED,2,2,2,,,
74249,2832, CLOSED, WONTFIX,13,7,4,,,
74332,247, NEW, (null),4,4,1,,,
74432,1802, NEW, (null),1,2,0,,,
74739,2577, NEW, (null),29,8,5,,,
74771,1952, NEW, (null),2,3,2,,,
74786,1789, NEW, (null),2,2,0,,,
75358,2821, CLOSED, WONTFIX,1,2,1,,,
75388,2821, CLOSED, WONTFIX,1,2,2,,,
75505,1116, CLOSED, WONTFIX,22,6,2,,,
75511,2, NEW, (null),1,2,0,,,
75699,6, VERIFIED, WONTFIX,3,2,1,,,
75715,1527, NEW, (null),4,3,3,,,
75748,1776, NEW, (null),1,2,1,,,
75833,678, NEW, (null),12,4,1,,,
76240,1779, NEW, (null),7,3,1,,,
76325,1757, NEW, (null),1,2,0,,,
76449,1927, NEW, (null),10,6,5,,,
76515,15, CLOSED, WONTFIX,11,3,0,,,
76801,1750, NEW, (null),1,2,0,,,
77095,1860, NEW, (null),3,4,1,,,
77263,958, NEW, (null),4,2,2,,,
77403,149, NEW, (null),10,5,4,,,
77456,512, CLOSED, FIXED,14,5,6,,,
77517,740, NEW, (null),1,2,3,,,
77521,160, NEW, (null),4,4,1,,,
77576,1911, NEW, (null),5,4,2,,,
77752,2786, CLOSED, WONTFIX,3,3,2,,,
77760,1910, NEW, (null),3,2,4,,,
77790,2834, NEW, (null),17,4,3,,,
77812,7, CLOSED, FIXED,24,4,3,,,
77841,2785, CLOSED, WONTFIX,1,2,1,,,
77853,1597, NEW, (null),2,3,2,,,
77904,951, NEW, (null),1,1,1,,,
77926,4, CLOSED, FIXED,3,2,0,,,
78268,1742, NEW, (null),18,3,3,,,
78731,1032, NEW, (null),0,1,2,,,
78888,63, NEW, (null),5,4,0,,,
78891,931, NEW, (null),4,3,1,,,
78892,1, NEW, (null),4,2,0,,,
78943,270, NEW, (null),5,3,0,,,
78971,1733, NEW, (null),6,4,6,,,
78976,1676, NEW, (null),4,2,1,,,
78983,683, NEW, (null),4,2,1,,,
79190,58, NEW, (null),3,2,0,,,
79198,1267, NEW, (null),5,4,3,,,
79203,58, NEW, (null),4,3,0,,,
79216,682, REOPENED, (null),8,5,2,,,
79229,58, NEW, (null),2,2,0,,,
79234,2768, NEW, (null),7,4,1,,,
79268,168, VERIFIED, FIXED,20,5,11,,,
79341,211, NEW, (null),5,4,1,,,
79462,1727, NEW, (null),10,4,4,,,
79681,1761, NEW, (null),2,1,1,,,
79727,1470, NEW, (null),6,5,11,,,
79925,2273, NEW, (null),5,4,2,,,
79930,2308, REOPENED, (null),6,4,1,,,
79933,49, NEW, (null),1,2,0,,,
79980,2888, NEW, (null),10,5,2,,,
80056,1879, NEW, (null),5,3,4,,,
80074,48, NEW, (null),3,2,0,,,
80079,1840, NEW, (null),5,5,3,,,
80377,681, NEW, (null),2,1,2,,,
80438,699, NEW, (null),4,4,2,,,
80599,69, VERIFIED, FIXED,4,3,2,,,
80622,18, CLOSED, FIXED,4,2,0,,,
80629,12, CLOSED, WONTFIX,4,2,0,,,
80830,65, VERIFIED, FIXED,3,2,1,,,
81014,1798, NEW, (null),3,4,3,,,
81209,1706, NEW, (null),3,3,0,,,
81214,2745, CLOSED, WONTFIX,3,4,0,,,
81221,2745, CLOSED, WONTFIX,2,3,0,,,
81224,2745, CLOSED, WONTFIX,2,3,0,,,
81226,2745, CLOSED, WONTFIX,2,3,0,,,
81230,2745, CLOSED, WONTFIX,3,3,0,,,
81237,2745, CLOSED, WONTFIX,2,3,0,,,
81252,1706, NEW, (null),6,2,0,,,
81264,482, VERIFIED, FIXED,4,4,0,,,
81275,2744, CLOSED, WONTFIX,3,3,1,,,
81279,2744, CLOSED, WONTFIX,2,3,1,,,
81334,1986, NEW, (null),24,7,7,,,
81482,579, NEW, (null),5,5,0,,,
81695,58, VERIFIED, FIXED,5,2,0,,,
81868,2737, CLOSED, WONTFIX,2,3,1,,,
81891,1356, NEW, (null),0,1,5,,,
81897,683, NEW, (null),2,2,2,,,
81940,1683, NEW, (null),5,3,0,,,
81987,41, CLOSED, FIXED,17,4,8,,,
82020,846, NEW, (null),20,5,5,,,
82067,74, CLOSED, FIXED,6,4,5,,,
82072,673, NEW, (null),5,3,3,,,
82104,2199, NEW, (null),14,4,5,,,
82161,0, NEW, (null),0,1,0,,,
82282,42, VERIFIED, FIXED,2,2,2,,,
82336,84, VERIFIED, FIXED,5,2,0,,,
82384,1678, NEW, (null),1,2,3,,,
82386,2720, NEW, (null),3,2,2,,,
82387,669, NEW, (null),11,3,4,,,
82404,668, NEW, (null),4,3,5,,,
82454,29, CLOSED, FIXED,13,5,6,,,
82577,2717, CLOSED, WONTFIX,4,4,3,,,
82578,2717, CLOSED, WONTFIX,5,4,3,,,
82599,898, NEW, (null),5,5,1,,,
82607,2717, CLOSED, WONTFIX,5,4,3,,,
82609,2717, CLOSED, WONTFIX,7,4,3,,,
82684,0, NEW, (null),0,1,0,,,
82696,2716, CLOSED, WONTFIX,10,6,3,,,
82769,453, VERIFIED, FIXED,15,6,3,,,
82770,1, CLOSED, WONTFIX,4,2,0,,,
82863,1676, NEW, (null),8,4,2,,,
82905,32, VERIFIED, FIXED,6,3,3,,,
83016,449, VERIFIED, FIXED,6,3,6,,,
83262,28, VERIFIED, FIXED,3,2,1,,,
83305,0, VERIFIED, FIXED,2,2,0,,,
83458,853, NEW, (null),16,3,3,,,
83522,246, CLOSED, WONTFIX,5,2,1,,,
83576,2704, CLOSED, WONTFIX,3,3,3,,,
83699,10, VERIFIED, FIXED,8,4,6,,,
83833,68, NEW, (null),0,1,0,,,
83887,269, NEW, (null),7,5,3,,,
84054,35, NEW, (null),3,2,4,,,
84278,1, CLOSED, WONTFIX,4,3,1,,,
84532,2412, REOPENED, (null),12,8,9,,,
84581,9, VERIFIED, FIXED,2,1,1,,,
84609,230, CLOSED, FIXED,6,2,0,,,
84733,8, VERIFIED, FIXED,4,2,2,,,
84737,2, NEW, (null),2,2,1,,,
84755,7, VERIFIED, FIXED,3,1,1,,,
84783,7, VERIFIED, FIXED,2,1,0,,,
84861,4, VERIFIED, FIXED,9,2,1,,,
84889,739, NEW, (null),2,2,5,,,
84894,739, NEW, (null),1,2,5,,,
84953,6, VERIFIED, FIXED,6,2,2,,,
84979,738, NEW, (null),2,2,5,,,
