BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory ,
7542,801, RESOLVED, WORKSFORME,5,3,0,NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
7610,2345, RESOLVED, WORKSFORME,7,4,2,NEW > ASSIGNED > NEW > RESOLVED > REOPENED > ASSIGNED > RESOLVED, --- > LATER > --- > WORKSFORME, , 
7614,13, RESOLVED, WORKSFORME,2,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
7627,0, RESOLVED, WORKSFORME,2,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
7640,1, RESOLVED, WORKSFORME,3,2,0,NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
7716,15, RESOLVED, WORKSFORME,1,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
7717,15, RESOLVED, WORKSFORME,1,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
7894,42, RESOLVED, WORKSFORME,3,3,1,NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
7968,60, RESOLVED, WORKSFORME,7,3,1,NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
7974,0, VERIFIED, FIXED,6,2,0,NEW > RESOLVED > REOPENED > ASSIGNED > NEW > RESOLVED > VERIFIED, --- > WORKSFORME > --- > FIXED, , 
7994,128, RESOLVED, WORKSFORME,2,2,0,NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
7997,44, RESOLVED, WORKSFORME,1,2,0,NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
8147,128, RESOLVED, WORKSFORME,4,2,0,NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
8153,0, RESOLVED, WORKSFORME,2,3,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
8278,189, RESOLVED, WORKSFORME,3,2,0,NEW > RESOLVED > REOPENED > RESOLVED, --- > LATER > --- > WORKSFORME, NEW (---) > RESOLVED (LATER) > REOPENED (---) > RESOLVED (WORKSFORME) , 
8307,21, RESOLVED, WORKSFORME,1,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
8409,1211, RESOLVED, WORKSFORME,3,3,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
8413,10, RESOLVED, WORKSFORME,1,1,0,NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
8456,2, RESOLVED, WORKSFORME,3,3,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
8465,87, VERIFIED, WORKSFORME,2,2,0,NEW > RESOLVED > VERIFIED, --- > WORKSFORME, , 
8694,0, RESOLVED, WORKSFORME,3,3,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
8708,33, RESOLVED, WORKSFORME,2,1,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
8744,12, VERIFIED, WORKSFORME,3,2,0,NEW > RESOLVED > VERIFIED, --- > WORKSFORME, , 
8754,0, RESOLVED, WORKSFORME,3,3,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
8761,71, RESOLVED, WORKSFORME,5,3,0,NEW > RESOLVED > REOPENED > NEW > RESOLVED, --- > WORKSFORME > --- > WORKSFORME, , 
8765,2757, CLOSED, WORKSFORME,3,1,0,NEW > RESOLVED > CLOSED, --- > REMIND > WORKSFORME, NEW (---) > RESOLVED (REMIND) > CLOSED (WORKSFORME) , 
8838,42, RESOLVED, WORKSFORME,1,1,1,NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
8881,3, RESOLVED, WORKSFORME,1,2,0,NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
8917,238, RESOLVED, WORKSFORME,14,6,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
8949,4, RESOLVED, WORKSFORME,1,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
9158,378, RESOLVED, WORKSFORME,1,2,0,NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
9174,76, RESOLVED, WORKSFORME,1,1,0,NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
9299,0, RESOLVED, WORKSFORME,2,3,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
9417,16, RESOLVED, WORKSFORME,3,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
9592,33, RESOLVED, WORKSFORME,2,3,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
