FFAndroidWFM,FFAndroidNWFM,IndustryWFM,IndustryNWFM,WikiWFM,WikiNWFM,EclipseWFM,EclipseNWFM,FirefoxWFM,FirefoxNWFM,MoodleWFM,MoodleNWFM
0,50,0,0,3,3,3,1,3,23,2,2
4,6,1,1,1,10,4,2,1,9,2,2
7,11,2,1,1,2,3,41,4,4,2,1
257,3,1,2,1,14,6,8,2,38,5,1
7,17,1,2,1,4,2,3,4,26,2,2
12,12,4,0,2,5,3,16,4,13,2,2
13,16,0,1,3,7,1,4,4,4,2,2
3,10,4,0,1,5,6,8,7,4,2,2
3,6,2,0,2,3,15,12,8,12,2,2
7,10,3,0,7,3,4,12,1,8,2,2
7,16,1,0,2,3,2,4,2,5,2,2
2,10,5,0,1,11,10,4,2,24,2,2
8,3,8,0,6,29,3,1,4,3,2,2
2,8,1,0,1,60,5,6,3,5,3,2
7,10,1,0,3,49,3,0,2,2,5,1
4,10,2,0,1,4,1,6,1,16,2,2
8,7,5,0,1,3,3,3,4,6,3,2
3,7,5,0,1,6,2,6,1,11,3,2
2,44,1,0,2,17,2,4,6,23,6,2
3,2,3,1,1,16,4,1,10,6,1,2
1,7,3,0,1,9,2,7,2,7,1,2
2,18,5,0,4,5,3,2,6,3,1,2
1,10,2,0,5,6,1,14,37,25,7,2
2,14,2,0,2,16,1,3,3,6,1,2
2,15,2,1,1,4,1,6,3,5,5,2
9,11,1,0,1,4,7,3,12,15,4,2
2,10,2,0,1,15,3,6,12,27,11,2
3,16,2,1,1,3,2,6,1,2,2,2
80,10,0,1,4,1,37,9,5,9,4,2
2,4,2,0,7,3,6,0,4,4,3,2
2,24,2,2,4,5,3,11,2,17,14,2
11,29,5,0,2,1,1,1,8,10,3,2
5,8,4,1,8,35,2,20,2,14,2,2
2,17,2,1,2,4,3,6,2,4,13,2
2,16,2,0,11,4,3,25,13,14,20,2
1,19,4,0,8,3,19,1,2,32,2,2
2,11,2,1,1,9,1,2,2,10,9,2
2,12,2,0,3,6,3,6,7,9,7,2
2,4,2,0,2,8,5,16,8,6,4,2
3,4,2,0,3,19,40,19,1,14,17,2
0,16,3,0,3,4,5,20,3,9,25,2
1,12,0,1,1,5,3,5,1,5,10,2
1,6,1,1,2,48,2,3,4,4,2,2
9,5,2,0,12,4,2,3,3,20,11,2
0,26,2,0,6,44,3,5,10,3,3,2
5,19,3,0,3,2,4,5,2,7,9,2
4,11,2,0,1,3,1,0,2,5,3,2
3,4,2,0,1,14,6,2,9,57,4,2
7,10,2,0,2,11,1,3,4,5,1,2
1,9,2,1,4,9,6,9,4,15,3,2
4,6,2,1,2,5,2,12,5,13,4,2
6,8,2,0,1,6,3,12,5,10,1,2
12,11,1,0,2,42,1,3,2,6,3,2
1,6,2,0,1,4,3,1,2,13,2,2
3,5,2,0,4,3,4,6,4,5,3,2
7,15,2,0,6,7,2,5,1,4,3,2
1,9,2,0,3,7,7,16,5,34,1,2
2,10,1,0,5,15,3,1,5,7,1,2
1,6,3,0,1,1,5,7,1,19,5,2
4,27,3,0,1,3,5,15,1,16,1,2
2,9,2,0,3,10,2,2,14,13,23,2
4,15,2,0,3,7,1,1,10,9,15,2
3,4,3,0,4,3,7,5,3,5,10,2
2,14,1,0,5,3,5,1,11,5,2,1
14,14,3,0,3,4,6,102,11,29,9,2
3,11,2,0,1,12,6,3,1,17,17,2
14,26,2,0,0,19,5,4,1,9,8,2
1,10,1,0,3,12,4,2,7,23,2,2
7,11,1,0,1,38,1,4,5,76,5,4
5,11,2,0,3,7,4,1,1,5,4,2
4,22,2,0,11,4,3,5,2,8,2,2
1,9,6,0,3,11,6,6,5,8,2,2
1,17,8,0,2,18,4,11,1,25,4,2
3,4,2,0,6,34,1,2,5,5,5,2
16,14,1,1,3,13,1,5,1,16,5,2
5,12,2,1,6,5,4,5,6,26,1,2
2,2,4,0,7,12,6,1,3,13,3,2
3,7,5,1,27,0,5,3,4,11,2,2
3,6,0,0,3,9,7,2,10,41,1,2
2,3,1,1,2,3,10,3,12,27,34,2
4,20,0,0,3,2,7,4,2,2,3,2
4,12,4,0,9,6,1,5,2,11,4,2
9,10,2,0,5,8,8,5,4,5,1,2
2,14,2,0,5,1,10,15,2,7,1,2
5,6,3,0,2,6,1,4,7,6,3,2
5,25,2,1,2,14,9,11,9,13,1,2
2,5,5,1,18,17,1,8,9,16,1,2
20,4,2,0,3,8,2,6,3,2,2,2
3,12,2,0,2,6,3,8,3,8,4,2
4,8,2,0,8,2,1,6,7,44,1,2
8,20,4,0,11,4,4,0,1,11,5,2
10,18,2,0,1,9,1,5,3,24,2,2
3,12,2,0,20,6,3,12,3,15,5,2
4,14,2,0,3,9,2,19,3,22,2,2
2,14,2,0,5,12,10,0,1,13,1,2
13,8,2,0,2,16,17,14,3,28,2,2
0,35,1,0,10,2,13,8,2,16,1,9
9,11,2,0,15,2,4,2,1,8,3,2
5,11,2,0,2,1,2,4,4,27,1,2
4,4,2,0,2,34,1,23,2,5,1,1
5,8,1,0,3,88,10,7,14,21,4,3
16,10,10,0,2,2,4,26,3,10,1,2
34,4,6,1,3,53,3,18,2,7,6,2
4,11,3,4,2,66,5,1,1,7,2,2
13,8,2,4,4,17,1,7,4,7,1,2
2,2,5,2,1,6,5,2,2,28,4,2
4,9,4,1,3,7,1,2,8,3,6,2
3,3,2,1,8,4,1,5,12,6,1,4
2,10,2,1,9,4,2,2,1,11,1,2
6,12,2,1,8,3,6,21,2,10,6,3
4,13,4,2,3,6,5,1,4,6,1,2
1,6,4,2,3,3,1,2,2,3,2,2
3,9,1,1,2,3,8,8,3,15,2,2
10,44,5,0,4,7,1,7,2,26,2,2
6,26,1,0,3,5,2,64,4,5,2,2
2,13,3,2,6,37,6,13,3,17,2,2
9,121,3,2,1,5,3,0,5,6,3,2
4,13,1,2,4,14,3,4,3,25,2,2
3,24,2,1,6,1,11,4,1,5,6,2
4,11,4,2,5,4,9,47,5,3,1,2
2,9,2,0,1,7,4,13,9,9,1,2
5,3,3,0,2,6,6,0,6,19,2,2
2,2,4,0,1,3,1,11,3,10,2,2
3,10,2,1,1,5,3,8,2,9,2,1
2,9,2,2,2,33,2,12,3,5,3,2
6,10,1,1,2,6,2,63,21,14,9,2
10,12,1,0,12,11,3,18,3,12,1,2
3,11,1,4,13,9,3,8,10,17,3,2
5,11,2,1,6,19,1,6,3,12,0,3
10,14,2,2,3,12,2,25,5,5,3,2
30,20,1,1,2,4,1,6,5,3,2,4
1,11,2,0,1,7,2,5,9,7,2,2
8,16,1,0,1,3,1,1,2,4,5,2
8,5,1,0,5,6,4,6,13,28,12,2
4,11,1,0,6,11,5,1,3,32,7,2
4,1,0,0,3,7,3,1,5,15,3,2
2,18,5,4,7,5,3,3,4,6,3,2
1,14,1,2,1,15,14,7,5,26,2,2
8,10,2,0,2,1,5,1,6,3,1,2
5,9,1,0,3,3,3,1,7,10,16,2
6,26,1,1,1,1,1,14,3,23,18,2
7,10,2,1,1,5,2,4,3,4,2,2
5,4,3,2,4,6,2,30,2,27,1,2
17,7,4,1,1,2,4,6,2,43,3,2
3,3,1,1,14,3,2,0,2,14,2,2
1,2,1,1,3,1,2,2,3,10,6,2
