FFAndroidWFM,FFAndroidNWFM,IndustryWFM,IndustryNWFM,WikiWFM,WikiNWFM,EclipseWFM,EclipseNWFM,FirefoxWFM,FirefoxNWFM,MoodleWFM,MoodleNWFM
7,159,13,0,22,950,2543,42,112,1114,721,1192
17,11,1,0,1348,74,29,3411,1051,859,726,1192
212,61,25,0,1340,112,104,285,0,915,726,1191
268,76,21,0,77,152,1,22,0,1003,730,1191
334,87,1,0,122,116,18,21,250,505,749,1191
288,2,0,0,1493,1,344,1,410,1330,760,1190
9,23,0,0,1244,672,54,10,112,720,781,1189
19,25,0,0,172,43,35,22,262,886,784,1188
13,43,0,0,1407,95,168,3405,268,1055,785,1188
211,48,8,0,0,1924,31,2528,0,1318,787,1187
5,108,1,0,1199,0,33,2527,945,1009,793,1185
0,18,0,0,1187,42,0,3401,342,1364,801,1183
0,120,11,0,1141,0,51,214,113,800,802,1183
34,39,0,0,1,66,106,17,22,926,804,1183
28,10,0,0,157,2,0,3804,737,705,811,1182
3,245,0,0,717,1559,94,6,703,1358,818,1181
177,96,3,0,0,2,37,12,973,1089,819,1181
0,6,5,0,1151,157,52,2351,309,1441,822,1181
26,24,4,0,704,134,708,2352,22,987,828,1179
284,15,4,0,752,193,84,21,3392,1054,829,1179
1,40,21,0,226,122,163,29,1367,595,834,1178
33,285,6,0,9,1,370,3390,640,664,834,1177
150,8,0,0,778,53,8,17,72,2189,834,1177
11,57,0,0,1062,3,146,3390,160,1021,837,1177
6,25,0,0,264,1991,944,16,9,572,839,1176
78,292,2,0,655,1545,2,2513,216,1395,841,1175
5,95,10,0,586,48,1,2513,3195,1614,1253,1175
342,6,0,0,23,1309,699,15,218,915,844,2724
86,13,0,0,49,25,0,951,545,1002,845,1175
146,0,0,0,1,2,14,468,0,1379,847,1175
1,40,4,0,706,52,34,53,689,720,848,1174
31,62,4,0,3,103,46,2336,516,795,853,1172
207,144,36,0,9,57,3,0,453,2304,871,1171
362,30,36,0,1241,1969,1076,1844,802,406,872,1170
73,78,0,0,1182,33,2,3375,25,622,874,1170
57,19,0,0,1257,823,9,2347,499,1364,884,44
1,66,0,0,123,356,29,3374,103,800,885,1169
4,35,0,0,600,52,133,2497,0,766,886,1168
56,82,29,0,589,293,6,1921,591,1070,893,1168
1,23,0,0,922,89,5,2330,173,613,897,1168
56,2,0,0,791,1100,3,2337,3493,1386,897,1167
101,43,2,0,452,0,537,2338,393,1439,899,3586
93,42,1,0,64,2,299,2482,160,895,906,1164
5,0,1,0,716,943,10,2312,67,1910,910,1164
7,62,3,0,434,2,25,31,1006,1601,910,1164
385,9,0,0,535,6,1,2316,1073,1021,920,1162
0,25,0,0,362,17,0,49,891,838,925,1160
5,16,36,0,704,2,0,2299,780,1002,930,1160
2,18,0,0,0,0,9,3342,119,502,931,1159
2,157,0,0,1289,2,3,8,402,1330,941,1158
219,23,8,0,6,839,40,800,439,638,989,3146
216,45,7,0,419,0,1496,2289,607,1379,990,1150
7,26,8,0,573,507,140,21,966,402,1001,1150
123,61,0,0,375,118,674,712,170,1458,1027,1148
43,8,35,0,370,0,3,467,3075,922,1039,1145
3,28,5,0,306,3,0,179,0,1068,1063,49
77,343,11,0,354,164,322,0,598,1358,1066,1145
62,61,11,0,381,3,7,3406,22,1208,1072,1139
12,90,0,0,1011,162,1147,3317,6,1439,1072,1137
0,5,5,0,527,77,135,3317,252,1050,1075,1135
28,125,12,0,27,126,1,3317,347,593,1083,1133
35,27,0,0,1067,102,165,472,116,958,1087,1133
89,18,0,0,781,91,21,919,3,1019,1091,1131
32,404,4,0,85,48,244,2263,856,569,1097,1129
249,6,4,0,46,19,246,630,193,1428,1098,1128
61,13,3,0,158,3,15,2417,859,1033,1102,1126
0,6,4,0,1559,2585,23,457,561,1392,1115,1126
11,2,0,0,106,967,3,2569,2361,998,1122,1126
2,8,0,0,197,766,3,3291,803,1023,1133,1120
389,30,0,0,108,103,181,2242,1115,1379,1174,1119
21,15,0,0,103,0,3,18,0,809,1178,1117
155,26,41,0,79,2,14,2317,27,1179,1199,1116
4,40,8,0,884,180,180,2256,0,963,1203,1114
64,156,0,0,226,14,3,126,174,787,1213,1113
10,274,0,0,304,1398,271,1436,138,1008,1215,1113
126,10,0,0,0,1084,264,1436,684,1094,1240,1112
3,9,1,0,311,7,158,2388,1200,690,1242,1112
6,66,0,0,5,1656,9,252,886,1065,1253,1112
65,311,0,0,5,1653,90,2254,389,1353,1297,1112
4,135,0,0,2090,181,11,7,87,1129,1307,1110
93,19,0,0,0,87,4,284,447,1050,1347,0
247,7,0,0,0,209,7,1456,32,1370,2726,0
14,202,0,0,1,117,8,247,0,1047,1392,1109
356,48,1,0,0,33,25,3282,46,1408,1398,1107
16,53,0,0,281,59,158,3235,331,1123,1400,1107
11,24,1,0,35,1,5,2194,186,1019,1414,1107
3,41,1,0,2062,95,118,341,1021,728,1417,1176
12,165,1,0,2060,94,70,966,0,902,1417,1107
48,29,0,0,0,0,11,2341,0,993,1443,1104
0,46,11,0,2025,56,10,2190,799,470,632,1104
51,2,16,0,2016,656,12,1381,17,637,80,1102
106,427,3,0,2012,2081,4,945,91,1379,1,1102
64,6,3,0,2034,2308,6,2338,334,209,810,1101
31,47,3,0,0,333,0,2174,1537,880,677,1101
27,3,34,0,1987,491,7,1584,8,963,477,1101
4,11,19,0,1982,741,0,539,576,1007,496,1099
4,365,3,0,0,540,89,2656,296,1363,5,1099
118,5,5,0,1979,424,9,2160,395,1065,221,1099
16,18,5,0,1961,423,65,1349,215,774,1416,1099
181,34,4,0,162,152,2,38,2811,1437,46,1099
134,16,0,0,1959,3,122,13,269,833,0,1099
11,79,2,0,374,223,330,182,625,1047,8,1099
6,8,0,0,151,5,0,2308,241,592,11,1099
17,55,0,0,2,0,1134,2141,987,1348,316,1099
88,67,3,0,143,12,0,2150,573,659,5,1098
5,42,3,0,2048,149,0,135,1159,1408,20,1098
324,9,3,0,1915,0,173,1658,477,951,21,1098
49,6,3,0,1858,293,77,0,0,1018,4,1098
11,10,8,0,1927,746,121,19,417,645,111,1097
21,100,4,0,1846,1806,0,2285,821,818,121,1097
226,5,22,0,382,1419,120,117,12,991,5,1097
454,260,0,0,1815,1154,151,188,147,1325,6,1097
148,17,1,0,164,4,0,1773,199,199,97,1097
0,59,1,0,1927,99,13,3152,1216,1170,0,1097
1,115,0,0,3,10,0,2106,58,962,15,1097
6,63,0,0,2027,687,348,2105,234,621,202,1096
19,70,0,0,1936,197,664,3143,236,1455,45,1096
0,14,0,0,2026,72,1112,513,0,922,250,1094
130,35,20,0,415,7,1474,1464,615,783,120,1094
54,47,0,0,1771,68,385,3131,0,2032,23,1094
0,50,0,0,1969,419,1,2,4,610,7,1093
21,46,3,0,1971,204,667,77,51,1357,321,1093
1,7,4,0,2050,110,662,2,950,1437,1,1093
6,46,20,0,2622,0,289,2100,1345,983,31,1093
142,7,3,0,1763,96,0,913,1249,1046,12,1092
33,2,4,0,1753,102,8,2089,110,974,21,1117
2,27,3,0,1738,11,22,841,282,1346,12,1091
1,11,3,0,1732,16,261,155,14,1018,892,1090
12,1,0,0,1725,10,7,2065,687,1388,0,1090
1,4,0,0,0,26,660,818,0,833,1165,1090
202,109,0,0,1734,2516,229,3089,555,797,515,1088
108,2,0,0,1915,753,146,0,215,988,53,1087
7,75,0,0,1918,89,1385,1258,255,1376,605,1087
2,300,4,0,1713,255,149,2051,1242,2,2,1086
0,38,0,0,0,52,1,3383,604,868,325,1086
42,15,61,0,1682,65,229,1491,854,962,0,1085
270,104,1,0,1754,40,115,2051,39,388,6,1084
4,63,1,0,0,1,146,2134,337,1297,6,1083
1,8,0,0,1,2244,64,802,1668,707,348,1083
20,24,16,0,1667,2788,878,0,587,369,371,1083
1,0,56,0,43,5,953,4,237,1063,5,1083
0,179,1,0,430,332,849,288,276,996,270,1081
314,13,7,0,1838,1777,0,1313,846,3120,21,1080
3,121,7,0,1661,57,770,3052,0,980,38,1080
51,59,0,0,1784,2139,1028,2014,122,1045,53,1077
4,41,72,0,0,273,1085,105,1634,588,7,1076
32,8,73,0,103,1266,4,2008,397,658,412,1075
0,5,10,0,2165,746,143,0,153,1122,8,1075
15,31,6,0,2045,32,239,3197,195,1108,5,1075
2,3,6,0,0,409,3,1206,10,644,5,1075
81,18,7,0,2032,2,374,703,87,1114,31,1074
12,13,6,0,1805,83,0,0,612,898,1,1074
168,43,0,0,2098,406,141,12,175,637,54,1074
1,47,10,0,166,13,47,2001,2,826,0,1074
0,35,6,0,1,56,72,1999,0,1176,74,1072
143,15,13,0,1661,30,2907,1188,1368,383,264,1072
4,105,73,0,1616,131,0,40,427,1382,539,1072
6,3,70,0,1617,89,966,1993,331,796,575,1070
174,16,0,0,1783,116,93,73,687,1454,746,1069
18,28,14,0,445,1,139,3341,948,851,737,1068
48,7,1,0,1,11,113,2568,953,919,68,3058
46,6,12,0,0,3,221,2013,0,1006,0,3024
67,80,2,0,0,278,0,1973,2972,1063,1,1066
4,302,35,0,1585,2098,92,85,50,700,260,1065
0,67,2,0,1573,36,138,60,490,771,470,1064
20,2,1,0,1,2088,28,1252,1,1436,487,1063
20,19,2,0,0,1968,138,2491,191,3249,11,1063
66,100,4,0,1752,82,138,1979,33,979,394,1063
29,96,6,0,1,1913,944,0,0,1044,18,1062
37,10,0,0,0,6,158,9,2771,748,4,1062
15,69,0,0,1742,302,183,12,536,1017,698,1061
16,13,6,0,183,0,368,1976,220,644,502,1061
1,51,0,0,1566,423,238,10,132,818,503,1060
79,4,4,0,0,180,136,17,59,1192,388,1060
433,56,0,0,35,0,27,17,504,1072,4,2569
188,1,1,0,1523,1973,11,17,629,808,305,1059
20,0,1,0,1520,1875,135,3001,190,866,629,1059
10,9,0,0,1,787,135,2756,0,945,60,1059
43,26,0,0,1528,2942,64,3000,468,79,0,1059
3,55,27,0,1509,8,0,34,137,1265,454,1058
103,12,21,0,1657,2004,862,57,138,620,317,1057
44,73,0,26,1702,1445,207,1161,750,1450,2,1052
123,44,0,27,1736,174,2,1996,22,850,530,1077
5,24,41,21,1770,30,4,2996,154,1005,135,1051
4,54,41,11,1502,6,0,71,1667,1061,423,1050
3,5,28,0,98,11,706,13,43,1356,534,2104
0,25,2,6,21,55,242,1942,3,1586,45,1045
53,90,2,7,1679,2098,24,57,775,677,656,1042
16,36,3,5,1681,965,65,2108,1019,658,3,1042
83,16,4,5,0,1,2023,1147,0,1401,25,1041
172,28,2,0,1,24,11,1146,3,1426,454,1040
50,243,6,68,200,389,3,369,0,642,652,1314
74,21,0,68,1486,38,143,2531,352,979,432,1039
23,541,0,0,1915,554,5,13,0,341,549,1038
307,74,3,8,1472,73,44,0,703,636,595,1036
208,83,19,0,1470,500,87,1982,222,1373,16,1036
1,93,12,70,1467,2,3072,825,163,2285,941,1035
22,38,1,0,1466,21,134,1120,113,379,25,1035
17,15,0,68,1466,0,2700,1933,3174,1253,585,1035
2,181,0,68,1468,6,1049,0,116,620,568,1035
1,1,28,68,0,15,133,3245,0,850,26,1034
10,7,3,70,0,147,0,1929,312,18,0,1034
7,2,3,1,308,1545,134,1553,109,1060,165,1031
446,56,66,70,1456,0,133,3157,3247,994,0,1029
239,47,1,68,218,2015,59,39,15,1356,105,1028
0,7,5,13,420,0,128,288,3280,769,41,1027
21,6,0,40,1,863,0,1918,260,827,535,1269
47,17,0,0,3,824,15,2957,1586,977,861,1024
467,27,1,70,1891,2,67,1911,835,1037,67,3162
9,59,1,73,0,14,1588,1114,2743,1342,608,1020
34,6,3,73,1452,10,20,28,1135,1401,0,1015
17,225,44,73,229,1,189,28,1808,941,610,1014
15,43,6,73,1570,151,233,1927,322,943,1028,1014
0,2,1,73,1435,261,0,1927,9,1009,0,1014
0,54,9,67,17,0,425,33,3,539,976,1014
188,90,0,0,1449,10,2580,26,1103,731,53,1013
7,5,2,68,0,2087,94,2072,0,1384,2,1013
27,3,0,12,66,1986,2,26,1592,974,470,1013
3,22,0,68,1423,1781,95,19,40,440,17,1011
20,27,3,0,1417,1781,7,14,0,1323,4,1010
0,83,1,11,123,0,6,1994,360,635,43,1010
41,0,8,13,1455,1501,673,3157,634,2197,7,1009
27,28,0,14,2018,38,33,2068,181,377,44,1009
97,72,0,8,362,8,9,2949,287,710,4,1007
51,5,0,5,0,0,15,1,350,1445,71,1007
120,181,1,13,0,0,57,10,347,216,138,1007
96,1,9,13,1403,2,182,1113,0,1060,35,1006
48,11,7,4,1403,0,973,842,690,607,153,1006
94,19,13,0,1403,501,30,8,400,2533,58,1006
0,105,6,0,2247,296,2075,1110,729,974,619,1005
229,12,3,10,86,432,2071,1899,865,1341,0,1003
0,161,5,10,0,2,78,3,236,747,692,1002
48,107,18,1,1365,75,187,3,10,1401,12,1002
30,6,2,0,1359,11,29,2935,1611,939,0,999
27,85,0,0,1359,2333,37,1886,320,940,101,999
0,46,41,0,1355,4,182,1420,1047,1004,56,997
139,14,0,1,1355,1123,69,1097,3296,538,615,996
20,0,0,1,0,842,149,0,3288,1336,590,996
127,30,0,0,1,186,203,0,4,1384,2,993
24,28,0,8,1349,266,98,0,516,892,1,991
358,8,27,0,1,4,0,38,34,1861,969,990
138,9,5,1,60,83,104,1879,4,1323,159,990
45,9,5,0,82,9,34,6,506,1371,220,989
32,31,57,0,84,15,14,2703,866,68,1028,988
58,0,0,0,115,1,175,526,847,1214,4,987
1,18,0,0,901,15,148,1091,123,1086,4,985
0,13,0,1,1981,292,8,0,35,819,244,984
125,170,0,1,91,20,13,275,1,708,243,974
48,25,1,1,1299,1784,215,287,132,1355,578,967
264,32,6,14,1023,29,311,3256,0,1311,245,964
18,43,58,15,1296,71,41,2921,2,1416,164,613
139,121,2,6,5,28,159,1317,373,1350,106,562
16,3,0,14,0,1,1003,1128,1,2819,309,613
273,5,0,0,1292,733,19,2907,2,1460,796,30
79,143,0,13,1287,34,1285,567,1025,855,0,596
5,115,5,5,1267,85,163,34,1010,1349,646,595
0,0,2,1,0,22,1,1862,160,662,4,595
158,96,5,1,240,3,14,1716,0,1349,222,595
75,2,5,7,1262,258,89,1856,0,954,1092,595
197,298,55,1,315,193,61,1432,3,2808,57,595
127,9,5,6,0,28,1944,90,414,845,260,594
118,250,53,0,0,585,2039,185,0,1257,453,594
0,8,7,0,1875,108,13,1698,752,1321,300,593
8,64,27,10,1464,46,10,112,3,1340,1,593
9,46,0,6,39,328,63,348,534,1334,154,593
152,90,1,14,20,26,140,1719,2921,816,454,593
51,7,6,7,1204,188,110,249,17,547,3,593
44,26,6,14,1204,15,9,692,1524,1321,296,592
168,79,1,0,1890,132,0,1036,153,1368,512,589
2,48,6,1,0,65,14,1834,41,1461,345,589
4,14,6,5,1179,101,7,3284,783,1443,93,2441
19,83,6,0,1179,133,7,231,705,1443,1130,2441
105,28,0,10,1179,79,929,40,3371,1058,451,588
108,92,0,10,9,76,120,29,34,677,1199,588
455,1,56,0,1166,0,2,1825,314,1426,472,2580
1,44,1,7,1345,7,76,1862,704,966,381,588
0,55,1,1,1209,4,135,951,504,1340,11,588
1,12,0,0,1395,1827,956,2856,148,919,143,588
20,33,61,12,1177,0,2060,1391,17,796,188,588
42,46,0,12,1667,0,28,1755,533,1243,402,586
4,16,6,0,442,9,28,2851,2,2606,410,586
2,19,10,8,1398,48,29,574,311,1367,1433,586
0,12,12,10,454,186,132,2847,3,1099,19,586
217,22,10,10,259,186,1357,2189,0,764,1,586
14,8,10,7,0,2,1357,181,411,1429,30,586
131,11,11,10,12,272,1356,25,1,1397,627,585
24,9,0,10,1178,236,947,2832,1205,924,1076,585
53,4,5,6,1115,164,0,247,0,1003,0,585
0,23,1,8,0,208,125,1802,203,508,476,584
32,58,41,0,0,1644,0,2577,529,796,189,583
48,51,0,8,40,1403,0,1952,442,965,504,2574
