BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory ,
376130,897, RESOLVED, WORKSFORME,3,3,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
208665,42, RESOLVED, WORKSFORME,3,3,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
336380,400, RESOLVED, WORKSFORME,2,2,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
596355,0, RESOLVED, WORKSFORME,6,3,2,UNCONFIRMED > RESOLVED, --- > FIXED > WORKSFORME > FIXED > WORKSFORME, , 
307472,372, RESOLVED, WORKSFORME,5,4,3,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
517715,500, RESOLVED, INCOMPLETE,5,4,2,UNCONFIRMED > RESOLVED > UNCONFIRMED > RESOLVED, --- > WORKSFORME > --- > INCOMPLETE, UNCONFIRMED (---) > RESOLVED (WORKSFORME) > UNCONFIRMED (---) > RESOLVED (INCOMPLETE) , 
282789,12, RESOLVED, WORKSFORME,10,7,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
247839,255, RESOLVED, WORKSFORME,1,2,0,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
216643,140, RESOLVED, WORKSFORME,6,5,1,UNCONFIRMED > NEW > RESOLVED, --- > WORKSFORME, , 
626386,160, RESOLVED, WORKSFORME,7,4,3,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
311472,0, RESOLVED, WORKSFORME,3,2,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
534192,418, RESOLVED, WORKSFORME,5,3,2,UNCONFIRMED > RESOLVED, --- > INCOMPLETE > FIXED > WORKSFORME, , 
288055,112, RESOLVED, WORKSFORME,3,3,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
458452,735, RESOLVED, WORKSFORME,1,2,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
253059,2, RESOLVED, WORKSFORME,2,2,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
643993,32, RESOLVED, WORKSFORME,6,3,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
314560,1035, RESOLVED, WORKSFORME,10,6,5,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
542929,338, RESOLVED, WORKSFORME,4,2,1,UNCONFIRMED > RESOLVED, --- > FIXED > WORKSFORME, , 
295170,5, RESOLVED, WORKSFORME,3,4,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
478641,598, RESOLVED, WORKSFORME,2,2,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
260128,927, RESOLVED, WORKSFORME,6,5,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
