BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberWatches, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory ,
MDLSITE-1051,496, Closed, Cannot Reproduce,3,1,0,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDLSITE-936,5, Resolved, Fixed,6,2,1,Open > Resolved > Reopened > Resolved, --- > CannotReproduce > Fixed, , 
MDLSITE-878,221, Resolved, Cannot Reproduce,1,1,1,Open > Resolved, -- > CannotReproduce, Open (---) > Resolved (CannotReproduce) , 
MDLSITE-635,1416, Closed, Cannot Reproduce,1,1,0,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDLSITE-460,46, Resolved, Cannot Reproduce,1,1,0,Open > Resolved, -- > CannotReproduce, Open (---) > Resolved (CannotReproduce) , 
MDLSITE-439,0, Resolved, Fixed,7,4,0,Open > Resolved > Reopened > Resolved, --- > CannotReproduce > Fixed, , 
MDLSITE-316,8, Closed, Cannot Reproduce,1,1,0,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDLSITE-302,11, Closed, Cannot Reproduce,5,2,1,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDLSITE-62,316, Resolved, Cannot Reproduce,4,2,0,Open > Resolved, -- > CannotReproduce, Open (---) > Resolved (CannotReproduce) , 
MDL-40643,5, Closed, Cannot Reproduce,11,2,1,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-40518,20, Closed, Cannot Reproduce,2,2,1,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-40514,21, Closed, Cannot Reproduce,4,2,5,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-39180,4, Closed, Cannot Reproduce,3,2,5,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-37840,111, Closed, Cannot Reproduce,14,7,10,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-37807,121, Closed, Cannot Reproduce,3,3,4,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-37756,5, Closed, Cannot Reproduce,2,1,2,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-37061,6, Closed, Fixed,13,5,2,Open > Closed > Reopened > Waitingforintegrationreview > Integrationreviewinprogress > Waitingfortesting > Testinginprogress > Tested > Closed, --- > CannotReproduce > Fixed, , 
MDL-36917,97, Closed, Cannot Reproduce,20,5,4,Open > Waitingforpeerreview > Peerreviewinprogress > Developmentinprogress > Waitingforpeerreview > Developmentinprogress > Open > Closed, -- > CannotReproduce, , 
MDL-36437,0, Closed, Cannot Reproduce,2,1,0,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-36333,15, Closed, Cannot Reproduce,9,3,3,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-36067,202, Closed, Cannot Reproduce,7,5,8,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-35573,45, Closed, Cannot Reproduce,4,2,1,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-34939,250, Closed, Fixed,17,8,8,Open > Closed > Reopened > Waitingforpeerreview > Peerreviewinprogress > Developmentinprogress > Waitingforintegrationreview > Integrationreviewinprogress > Waitingfortesting > Testinginprogress > Tested > Closed, --- > CannotReproduce > Fixed, , 
MDL-34695,120, Closed, Fixed,25,11,10,Open > Developmentinprogress > Closed > Reopened > Waitingforpeerreview > Peerreviewinprogress > Developmentinprogress > Waitingforintegrationreview > Integrationreviewinprogress > Waitingfortesting > Testinginprogress > Tested > Closed, --- > CannotReproduce > Fixed, , 
MDL-34637,23, Closed, Cannot Reproduce,10,3,2,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-34392,7, Closed, Cannot Reproduce,2,1,2,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-34391,321, Closed, Cannot Reproduce,11,8,9,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-34016,1, Closed, Cannot Reproduce,3,3,0,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-33752,31, Closed, Cannot Reproduce,9,3,4,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-33745,12, Closed, Cannot Reproduce,3,2,3,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-33698,21, Closed, Cannot Reproduce,4,2,1,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-33267,12, Closed, Cannot Reproduce,1,1,0,Open > Resolved > Closed, -- > CannotReproduce, , 
MDL-33259,892, Closed, Cannot Reproduce,3,2,1,Open > Resolved > Closed, -- > CannotReproduce, , 
MDL-33249,0, Closed, Cannot Reproduce,4,3,0,Open > Resolved > Closed, -- > CannotReproduce, , 
MDL-33241,1165, Closed, Cannot Reproduce,1,1,1,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-33231,515, Closed, Cannot Reproduce,3,3,0,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-33229,53, Closed, Cannot Reproduce,2,2,0,Open > Resolved > Closed, -- > CannotReproduce, , 
MDL-33226,605, Closed, Cannot Reproduce,3,2,0,Open > Resolved > Closed, -- > CannotReproduce, , 
MDL-33223,2, Closed, Cannot Reproduce,3,2,0,Open > Resolved > Closed, -- > CannotReproduce, , 
MDL-33108,325, Closed, Cannot Reproduce,1,1,1,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-32516,0, Closed, Cannot Reproduce,1,1,1,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-32360,6, Closed, Cannot Reproduce,5,3,0,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-31246,6, Closed, Cannot Reproduce,1,1,2,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-30624,348, Closed, Cannot Reproduce,23,9,7,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-30503,371, Reopened, Unresolved,15,6,4,Open > Closed > Reopened, -- > CannotReproduce, , 
MDL-30294,5, Closed, Fixed,10,6,0,Open > Closed > Reopened > Developmentinprogress > Waitingforintegrationreview > Integrationreviewinprogress > Waitingfortesting > Testinginprogress > Tested > Closed, --- > CannotReproduce > Fixed, , 
MDL-30278,270, Closed, Cannot Reproduce,2,2,0,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-30171,21, Closed, Cannot Reproduce,9,2,2,Open > Closed > Reopened > Closed, --- > Incomplete > CannotReproduce, , 
MDL-29961,38, Closed, Cannot Reproduce,17,4,7,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-29959,53, Closed, Cannot Reproduce,8,3,2,Open > Developmentinprogress > Closed > Reopened > Closed, --- > Fixed > CannotReproduce, , 
MDL-29284,7, Closed, Cannot Reproduce,2,1,1,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-29096,412, Closed, Cannot Reproduce,5,4,4,Open > Developmentinprogress > Closed, -- > CannotReproduce, , 
MDL-28331,8, Closed, Cannot Reproduce,4,2,3,Open > Developmentinprogress > Closed, -- > CannotReproduce, , 
MDL-28239,5, Closed, Cannot Reproduce,2,2,1,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-28076,5, Closed, Cannot Reproduce,2,1,1,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-27933,31, Closed, Cannot Reproduce,4,2,2,Open > Developmentinprogress > Waitingforpeerreview > Developmentinprogress > Open > Closed, -- > CannotReproduce, , 
MDL-27921,1, Closed, Cannot Reproduce,5,3,1,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-27918,54, Closed, Cannot Reproduce,5,4,2,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-27871,0, Closed, Cannot Reproduce,1,1,0,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-27722,74, Closed, Cannot Reproduce,3,2,2,Open > Developmentinprogress > Open > Closed, -- > CannotReproduce, , 
MDL-27702,264, Closed, Cannot Reproduce,2,2,0,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-27606,539, Closed, Cannot Reproduce,1,1,2,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDL-27493,575, Closed, Cannot Reproduce,34,13,10,Open > Developmentinprogress > Closed > Reopened > Closed, --- > Fixed > CannotReproduce, , 
